语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：愁
2023/1/20 16:06:28

序号	语句	书名	朝代
135	故元气乐即生大昌，自然乐则物强，天乐即三光明，地乐则成有常，五行乐则不相伤，四时乐则所生王，王者乐则天下无病，☆行乐则不相害伤，万物乐则守其常，人乐则不 [愁] 易心肠，鬼神乐即利帝王。		《太平经》__汉
136	当使各有所利，不当使其还的相 [愁] 穷也。”		《太平经》__汉
137	“然，夫父母与子，极天下之厚也，不得困 [愁] 焉，不宜杀之也。		《太平经》__汉
138	太古者上君以道服人，大得天心，其治若神，而不 [愁] 者，以真道服人也；中君以德服人；下君以仁服人；乱君以文服人；凶败之君将以刑杀伤服人。		《太平经》__汉
139	此以天为父，以地为母，此父母贫极，则子 [愁] 贫矣。		《太平经》__汉
140	世间之用， [愁] 毒于人，复何用相明，使有和顺乎?		《太平经》__汉
141	今为人父母君，将署臣子之职，不以其所长，正交杀之，犹不能理其职事，但空乱其官职， [愁] 苦其民耳；官职乱，民臣 [愁] ，则复仰呼天，自言冤，上动天，复增灾怪。		《太平经》__汉
142	故古者圣贤帝王，未尝贫于财货也，乃常苦贫于士， [愁] 大贤不至，人民不聚，皆欲外附，日以疏少，以是不称皇天心，而常 [愁] 苦。		《太平经》__汉
143	自古至今，多有是佞臣猾子，弄文辞，共欺其上， [愁] 其君父，而得官位；无功于天地而食禄，天甚疾之，地甚恶之，天上名之乱纪。		《太平经》__汉
144	夫人命乃在天地，欲安者，乃当先安其天地，然后可得长安也；今乃反 [愁] 天地共贼害其父母，以何为而得安吉乎哉?		《太平经》__汉
145	夫恶人下愚蔽暗之人，其行乃不顺天地之道，尚为君子得事，戮其父母， [愁] 其宗亲，为行无法，鬼神承天心为使不喜之，为害甚处三，法所当诛。		《太平经》__汉
146	夫教其为仁，尚 [愁] 其不仁，及教其学为不仁之路。		《太平经》__汉
147	“欲不谢，若为轻道易事 [愁] 师，谢又触忌讳不谦也。”		《太平经》__汉
148	今下古，所以帝王虽有万万人之道德，仁思称天心，而凶不绝者，乃承负☆灾乱以来独积久，虽 [愁] 自苦念之，欲乐其一理，变怪盗贼万类，夷狄猾夏，乃先王之失，非一人所独致，当深知其本。		《太平经》__汉
149	古今天文圣书贤人辞已备足，但 [愁] 其集居，各长于一事耳。		《太平经》__汉
150	“然，有所睹见，不敢空妄 [愁] 下古贤德也。		《太平经》__汉
151	精神但自冤怜，无故得 [愁] 恚于此下士。		《太平经》__汉
152	后世不肖反久苦天地四时五行之身，令使更自冤死，尚 [愁] 其魂魄。		《太平经》__汉
153	“愚生每有所问，自知积 [愁] 天师，向不问，何从得知之。”		《太平经》__汉
154	其次莫若善于仁施，与见人贫乏，为其 [愁] 心，比若自忧饥寒，乃可也。		《太平经》__汉
155	故劳其身， [愁] 其思，以忧社稷者，棼冒勃苏是也。		《战国策》__汉
156	母内独 [愁] 恚，诸子大不谨孝，常苦忿忿悃悒，而无从得通其言。		《太平经》__汉
157	彼有廉其爵，贫其身，以忧社稷子；有崇其爵，丰其禄，以忧社稷者；有断☆决腹，壹暝而万世不视，不知所益，以忧社稷者；有劳其身， [愁] 其志，以忧社稷者；亦有不为爵劝，不为禄勉，以忧社稷者。”		《战国策》__汉
158	古者圣人时运未得及其道之，遂使人民妄为，谓地不疾痛也，地内独疾痛无訾，乃上感天，而人不得知之， [愁] 困其子不能制，上诉人于父，诉之积久，复久积数，故父怒不止，灾变怪万端并起，母复不说，常怒不肯力养人万物。		《太平经》__汉
159	人虽小，其冤 [愁] 地形状，使人昭然自知，深有过责，立可见也。		《太平经》__汉
160	天下 [愁] 恨怨苦，因大扰乱，竟不能挫伤一胡虏，徒自穷极竭尽而已。		《新论》__汉
161	’洪水之灾，尧独 [愁] 悴而不能治，得舜、禹而九州宁。		《盐铁论》__汉
162	已 [愁] 毒而行，不知所止。		《太平经》__汉
163	数闻神言，不见其人，心内不自安；常斋惶惧，日夜 [愁] 怖，不敢自安。		《太平经》__汉
164	皆从恶弊人出，父平 [愁] 毒，宗家患毒，为行如此，亦何所望，而欲得久视息哉?		《太平经》__汉
165	无益家用， [愁] 毒父母、兄弟妇儿，辄当忧之，无有解已。		《太平经》__汉
166	“子尚言不睹，夫俗人蔽隐，藏其要道德，反使其君 [愁] 而苦愚暗，咎在真道德蔽而不通也。		《太平经》__汉
167	达人所以不 [愁] 死者，非不欲求，亦固不知所以免死之术，而空自焦 [愁] ，无益于事。		《抱朴子》__魏晋六朝
168	复有忧气结不解，日夜 [愁] 毒大息，念在钱财散亡，恐不得久保。		《太平经》__汉
169	可无久苦自 [愁] ，令忧满腹。		《太平经》__汉
170	今旦一言，名为大逆天地，从古到今，人君所得 [愁] 也。		《太平经》__汉
171	勇力则行害人，求非其有，夺非其物，又数害伤人，与天为怨，与地为咎，与君子为仇，帝王得 [愁] 焉。		《太平经》__汉
172	“余师常告门人曰：‘夫人求道，如忧家之贫，如 [愁] 位之卑者，岂有不得耶？		《抱朴子》__魏晋六朝
173	六为刺喜者，以刺击地，道神各亦自有典，以其家法，祠神来游，半以类真，半似邪，颇使人好巧，不可常使也，久久 [愁] 人。		《太平经》__汉
174	行，为子说天谶证为小竟，欲为真人大说，天上地下，绝洞八极及星宿罗列，悉一二说，周流天道微妙，或人反眩，不知所之，后令真道绝不用，无以解古流灾，复令上 [愁] 焉。		《太平经》__汉
175	不善思其至意，不精读之，虽得吾书，亦无益也；得而不力行，与不得何异也；见食不食，与无谷何异；见浆不饮，渴犹不可救，此者非能 [愁] 他人也，还自害，可不详哉?		《太平经》__汉
176	高枕谈卧、无叫号者，不知忧私责与吏正戚者之 [愁] 也。		《盐铁论》__汉
177	今念从古到今，文书悉已备具矣，俱 [愁] 其集居而不纯，集厕相乱，故使贤明共疑迷惑，不知何从何信，遂失天至心，因而各从其忤是也。		《太平经》__汉
